"Validity start date of territory hierarchy","Numeric TIS-code of higher level territory","Validity start date of higher level territory","Numeric TIS-code of lower level territory","Validity start date of lower level territory","Validity end date of territory hierarchy"
1000/1/1 00:00:00,2131,1000/1/1 00:00:00,578,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2131,1000/1/1 00:00:00,752,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2132,1000/1/1 00:00:00,32,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2132,1000/1/1 00:00:00,68,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2132,1000/1/1 00:00:00,76,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2132,1000/1/1 00:00:00,152,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2132,1000/1/1 00:00:00,170,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2132,1000/1/1 00:00:00,218,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2132,1000/1/1 00:00:00,328,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2132,1000/1/1 00:00:00,600,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2132,1000/1/1 00:00:00,604,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2132,1000/1/1 00:00:00,740,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2132,1000/1/1 00:00:00,858,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2132,1000/1/1 00:00:00,862,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2133,1000/1/1 00:00:00,96,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2133,1000/1/1 00:00:00,104,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2133,1000/1/1 00:00:00,116,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2133,1000/1/1 00:00:00,360,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2133,1000/1/1 00:00:00,418,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2133,1000/1/1 00:00:00,458,1000/1/1 00:00:00,3999/12/31 00:00:00
